amfi_code,scheme_name,category,fund_house,sortino_ratio,sortino_rank
148567,Mirae Asset Large Cap Fund - Regular - Growth,Equity,Mirae Asset MF,2.1778,1
120843,Kotak Flexicap Fund - Regular - Growth,Equity,Kotak Mahindra MF,2.0157,2
148569,Mirae Asset Tax Saver Fund - Regular - Growth,Equity,Mirae Asset MF,1.8752,3
119551,SBI Bluechip Fund - Regular Plan - Growth,Equity,SBI Mutual Fund,1.8402,4
120505,ICICI Pru Midcap Fund - Regular - Growth,Equity,ICICI Prudential MF,1.7834,5
149323,DSP Midcap Fund - Regular - Growth,Equity,DSP Mutual Fund,1.6701,6
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,Equity,HDFC Mutual Fund,1.6321,7
118632,Nippon India Large Cap Fund - Regular - Growth,Equity,Nippon India MF,1.612,8
101206,ABSL Frontline Equity Fund - Regular - Growth,Equity,Aditya Birla Sun Life MF,1.5456,9
120504,ICICI Pru Bluechip Fund - Direct - Growth,Equity,ICICI Prudential MF,1.5391,10
119094,Axis Midcap Fund - Regular - Growth,Equity,Axis Mutual Fund,1.5043,11
149324,DSP Small Cap Fund - Regular - Growth,Equity,DSP Mutual Fund,1.4206,12
119552,SBI Bluechip Fund - Direct Plan - Growth,Equity,SBI Mutual Fund,1.4196,13
119598,SBI Small Cap Fund - Regular Plan - Growth,Equity,SBI Mutual Fund,1.418,14
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Equity,Mirae Asset MF,1.3809,15
102885,UTI Nifty 50 Index Fund - Regular - Growth,Equity,UTI Mutual Fund,1.2137,16
120503,ICICI Pru Bluechip Fund - Regular - Growth,Equity,ICICI Prudential MF,1.1765,17
125497,HDFC Top 100 Fund - Direct Plan - Growth,Equity,HDFC Mutual Fund,1.1488,18
118635,Nippon India ETF Nifty 50 BeES,Equity,Nippon India MF,0.9766,19
118633,Nippon India Large Cap Fund - Direct - Growth,Equity,Nippon India MF,0.9676,20
120506,ICICI Pru Value Discovery Fund - Regular - Growth,Equity,ICICI Prudential MF,0.9517,21
102887,UTI Flexi Cap Fund - Regular - Growth,Equity,UTI Mutual Fund,0.9195,22
120841,Kotak Bluechip Fund - Regular - Growth,Equity,Kotak Mahindra MF,0.7198,23
120507,ICICI Pru Liquid Fund - Regular - Growth,Debt,ICICI Prudential MF,0.7187,24
149322,DSP Top 100 Equity Fund - Regular - Growth,Equity,DSP Mutual Fund,0.6694,25
118634,Nippon India Small Cap Fund - Regular - Growth,Equity,Nippon India MF,0.647,26
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,Equity,HDFC Mutual Fund,0.4298,27
101207,ABSL Small Cap Fund - Regular - Growth,Equity,Aditya Birla Sun Life MF,0.2332,28
119093,Axis Bluechip Fund - Direct - Growth,Equity,Axis Mutual Fund,0.1844,29
120842,Kotak Emerging Equity Fund - Regular - Growth,Equity,Kotak Mahindra MF,0.107,30
119092,Axis Bluechip Fund - Regular - Growth,Equity,Axis Mutual Fund,0.0439,31
119599,SBI Small Cap Fund - Direct Plan - Growth,Equity,SBI Mutual Fund,-0.0803,32
119095,Axis Small Cap Fund - Regular - Growth,Equity,Axis Mutual Fund,-0.1076,33
120844,Kotak Liquid Fund - Regular - Growth,Debt,Kotak Mahindra MF,-0.125,34
102886,UTI Mid Cap Fund - Regular - Growth,Equity,UTI Mutual Fund,-0.2868,35
100016,HDFC Top 100 Fund - Regular Plan - Growth,Equity,HDFC Mutual Fund,-0.2869,36
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,Debt,SBI Mutual Fund,-0.3182,37
118636,Nippon India Gilt Securities Fund - Regular - Growth,Debt,Nippon India MF,-0.4971,38
100025,HDFC Short Term Debt Fund - Regular - Growth,Debt,HDFC Mutual Fund,-0.7815,39
101208,ABSL Liquid Fund - Regular - Growth,Debt,Aditya Birla Sun Life MF,-1.102,40
