amfi_code,var_95,cvar_95,sharpe_ratio,sortino_ratio,risk_grade,scheme_name,category,fund_house,alpha,beta,max_drawdown_pct,return_1yr_pct,return_3yr_pct,aum_crore,max_drawdown,cagr_available,var_rank
120507,-0.000222,-0.000373,0.4957,0.7187,Low,ICICI Pru Liquid Fund - Regular - Growth,Debt,ICICI Prudential MF,1.85,0.26,-2.62,8.89,7.68,39116,-0.0262,7.68,1
101208,-0.000269,-0.000422,-0.8156,-1.102,Low,ABSL Liquid Fund - Regular - Growth,Debt,Aditya Birla Sun Life MF,1.18,0.43,-3.66,6.18,5.14,38995,-0.0366,5.14,2
120844,-0.000285,-0.000411,-0.0887,-0.125,Low,Kotak Liquid Fund - Regular - Growth,Debt,Kotak Mahindra MF,1.52,0.47,-3.81,4.26,6.18,27623,-0.0381,6.18,3
100025,-0.003793,-0.004994,-0.5671,-0.7815,Low,HDFC Short Term Debt Fund - Regular - Growth,Debt,HDFC Mutual Fund,1.98,0.44,-6.01,6.83,7.37,27953,-0.0601,7.37,4
118636,-0.003804,-0.004919,-0.3566,-0.4971,Low,Nippon India Gilt Securities Fund - Regular - Growth,Debt,Nippon India MF,0.89,0.37,-2.23,6.19,5.31,30030,-0.0223,5.31,5
119120,-0.003938,-0.005014,-0.2266,-0.3182,Low,SBI Magnum Gilt Fund - Regular Plan - Growth,Debt,SBI Mutual Fund,1.6,0.22,-2.3,5.34,6.07,24101,-0.023,6.07,6
118635,-0.012554,-0.016177,0.6649,0.9766,Moderate,Nippon India ETF Nifty 50 BeES,Equity,Nippon India MF,1.8,1.04,-26.75,10.14,11.77,20284,-0.2675,11.77,7
102885,-0.012613,-0.01549,0.8171,1.2137,Moderate,UTI Nifty 50 Index Fund - Regular - Growth,Equity,UTI Mutual Fund,0.93,0.9,-24.42,13.76,12.1,7350,-0.24420000000000003,12.1,8
119551,-0.012846,-0.016397,1.2083,1.8402,High,SBI Bluechip Fund - Regular Plan - Growth,Equity,SBI Mutual Fund,0.87,0.89,-21.7,12.42,12.36,14288,-0.217,12.36,9
120841,-0.013142,-0.016363,0.4943,0.7198,Low,Kotak Bluechip Fund - Regular - Growth,Equity,Kotak Mahindra MF,1.27,0.93,-17.86,14.37,12.25,35585,-0.17859999999999998,12.25,10
101206,-0.013282,-0.017439,1.0272,1.5456,High,ABSL Frontline Equity Fund - Regular - Growth,Equity,Aditya Birla Sun Life MF,1.34,1.03,-15.07,14.82,13.78,23500,-0.1507,13.78,11
118633,-0.013443,-0.01663,0.6452,0.9676,Moderate,Nippon India Large Cap Fund - Direct - Growth,Equity,Nippon India MF,1.7,1.02,-18.14,14.42,12.33,39475,-0.1814,12.33,12
119552,-0.013501,-0.017336,0.9533,1.4196,Moderate,SBI Bluechip Fund - Direct Plan - Growth,Equity,SBI Mutual Fund,1.78,0.87,-24.43,15.25,11.3,1231,-0.2443,11.3,13
120503,-0.01355,-0.017451,0.798,1.1765,Moderate,ICICI Pru Bluechip Fund - Regular - Growth,Equity,ICICI Prudential MF,0.66,0.96,-25.91,15.63,11.54,36022,-0.2591,11.54,14
148567,-0.01356,-0.017623,1.4483,2.1778,High,Mirae Asset Large Cap Fund - Regular - Growth,Equity,Mirae Asset MF,1.62,0.96,-17.07,15.12,14.81,11361,-0.1707,14.81,15
120504,-0.013728,-0.017494,1.0265,1.5391,High,ICICI Pru Bluechip Fund - Direct - Growth,Equity,ICICI Prudential MF,0.88,1.03,-26.59,14.12,14.41,41553,-0.2659,14.41,16
119092,-0.01375,-0.017328,0.0308,0.0439,Low,Axis Bluechip Fund - Regular - Growth,Equity,Axis Mutual Fund,1.41,0.91,-27.54,11.82,11.84,25803,-0.2754,11.84,17
118632,-0.013954,-0.017619,1.0817,1.612,High,Nippon India Large Cap Fund - Regular - Growth,Equity,Nippon India MF,0.86,0.88,-16.07,15.84,14.0,20909,-0.1607,14.0,18
119093,-0.014226,-0.017487,0.1296,0.1844,Low,Axis Bluechip Fund - Direct - Growth,Equity,Axis Mutual Fund,1.43,0.87,-17.4,13.95,12.14,15866,-0.174,12.14,19
100016,-0.014364,-0.01806,-0.2015,-0.2869,Low,HDFC Top 100 Fund - Regular Plan - Growth,Equity,HDFC Mutual Fund,0.78,0.97,-17.41,10.94,14.84,6434,-0.1741,14.84,20
120506,-0.014388,-0.019405,0.6489,0.9517,Moderate,ICICI Pru Value Discovery Fund - Regular - Growth,Equity,ICICI Prudential MF,0.55,0.92,-21.89,16.67,14.76,2571,-0.2189,14.76,21
149322,-0.014474,-0.018402,0.464,0.6694,Low,DSP Top 100 Equity Fund - Regular - Growth,Equity,DSP Mutual Fund,1.82,0.91,-21.7,11.96,12.82,41828,-0.217,12.82,22
120843,-0.014508,-0.018381,1.3067,2.0157,High,Kotak Flexicap Fund - Regular - Growth,Equity,Kotak Mahindra MF,1.85,0.95,-19.5,15.74,15.65,35012,-0.195,15.65,23
125497,-0.014592,-0.01831,0.7758,1.1488,Moderate,HDFC Top 100 Fund - Direct Plan - Growth,Equity,HDFC Mutual Fund,1.13,0.97,-33.5,11.48,13.38,10611,-0.335,13.38,24
148568,-0.014712,-0.018765,0.9263,1.3809,Moderate,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Equity,Mirae Asset MF,1.7,0.99,-33.15,14.91,14.56,49046,-0.33149999999999996,14.56,25
