month,last_trading_date,nifty50_month_end_close
2022-01,2022-01-31,18615.38
2022-02,2022-02-28,18865.93
2022-03,2022-03-31,19775.28
2022-04,2022-04-29,19985.01
2022-05,2022-05-31,18935.9
2022-06,2022-06-30,19192.78
2022-07,2022-07-29,19585.87
2022-08,2022-08-31,20209.61
2022-09,2022-09-30,20657.7
2022-10,2022-10-31,20871.91
2022-11,2022-11-30,21763.67
2022-12,2022-12-30,22446.34
2023-01,2023-01-31,24494.37
2023-02,2023-02-28,24902.29
2023-03,2023-03-31,24043.2
2023-04,2023-04-28,24494.8
2023-05,2023-05-31,24476.07
2023-06,2023-06-30,24372.49
2023-07,2023-07-31,24029.95
2023-08,2023-08-31,25201.62
2023-09,2023-09-29,26300.87
2023-10,2023-10-31,26565.37
2023-11,2023-11-30,25945.06
2023-12,2023-12-29,26067.8
2024-01,2024-01-31,26708.12
2024-02,2024-02-29,27215.19
2024-03,2024-03-29,26656.93
2024-04,2024-04-30,26267.55
2024-05,2024-05-31,24263.56
2024-06,2024-06-28,24249.42
2024-07,2024-07-31,22704.38
2024-08,2024-08-30,21757.43
2024-09,2024-09-30,21860.32
2024-10,2024-10-31,20995.61
2024-11,2024-11-29,21358.1
2024-12,2024-12-31,22040.14
2025-01,2025-01-31,20978.61
2025-02,2025-02-28,20768.48
2025-03,2025-03-31,21107.42
2025-04,2025-04-30,19952.62
2025-05,2025-05-30,20913.08
2025-06,2025-06-30,20548.17
2025-07,2025-07-31,19856.06
2025-08,2025-08-29,20633.24
2025-09,2025-09-30,20031.45
2025-10,2025-10-31,19634.35
2025-11,2025-11-28,19187.01
2025-12,2025-12-31,18654.07
