amfi_code,scheme_name,category,fund_house,sharpe_ratio,sortino_ratio,alpha,beta,max_drawdown,cagr_3yr,expense_ratio_pct,composite_score,composite_rank,tracking_error_nifty100,tracking_error_nifty50
148567,Mirae Asset Large Cap Fund - Regular - Growth,Equity,Mirae Asset MF,1.4483,2.1778,0.2064,0.0237,-0.1127,34.0,1.46,100.0,1,0.1897,0.194
120505,ICICI Pru Midcap Fund - Regular - Growth,Equity,ICICI Prudential MF,1.1801,1.7834,0.2277,0.0005,-0.1819,31.78,1.36,94.43,2,0.232,0.2331
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,Equity,HDFC Mutual Fund,1.0937,1.6321,0.2073,0.0051,-0.1622,32.44,1.38,93.57,3,0.2287,0.2298
120843,Kotak Flexicap Fund - Regular - Growth,Equity,Kotak Mahindra MF,1.3067,2.0157,0.2068,-0.0228,-0.1297,29.58,1.45,93.39,4,0.2064,0.2051
120504,ICICI Pru Bluechip Fund - Direct - Growth,Equity,ICICI Prudential MF,1.0265,1.5391,0.148,0.0162,-0.1259,32.49,0.8,91.3,5,0.1916,0.1914
119094,Axis Midcap Fund - Regular - Growth,Equity,Axis Mutual Fund,0.9982,1.5043,0.1915,-0.0663,-0.2096,35.11,1.38,87.65,6,0.2377,0.2371
119551,SBI Bluechip Fund - Regular Plan - Growth,Equity,SBI Mutual Fund,1.2083,1.8402,0.1649,-0.0318,-0.1501,30.46,1.54,84.35,7,0.1912,0.1931
148569,Mirae Asset Tax Saver Fund - Regular - Growth,Equity,Mirae Asset MF,1.2349,1.8752,0.2189,0.0181,-0.164,29.18,1.6,82.78,8,0.2174,0.2194
101206,ABSL Frontline Equity Fund - Regular - Growth,Equity,Aditya Birla Sun Life MF,1.0272,1.5456,0.1504,0.0211,-0.1129,28.97,1.6,75.13,9,0.1927,0.1915
119598,SBI Small Cap Fund - Regular Plan - Growth,Equity,SBI Mutual Fund,0.9453,1.418,0.2369,-0.0232,-0.2871,26.67,1.43,73.74,10,0.2839,0.278
149324,DSP Small Cap Fund - Regular - Growth,Equity,DSP Mutual Fund,0.9498,1.4206,0.2363,0.0115,-0.3117,27.0,1.52,73.04,11,0.2792,0.2718
