period,base_currency,target_currency,exchange_rate,frequency,rate_type,source
2023-01,EUR,GBP,0.8821231818182,Monthly,Foreign Exchange Reference Rate (Spot Average),European Central Bank (ECB)
2023-01,EUR,INR,88.14405,Monthly,Foreign Exchange Reference Rate (Spot Average),European Central Bank (ECB)
2023-01,EUR,JPY,140.5440909090909,Monthly,Foreign Exchange Reference Rate (Spot Average),European Central Bank (ECB)
2023-01,EUR,USD,1.0769,Monthly,Foreign Exchange Reference Rate (Spot Average),European Central Bank (ECB)
2023-02,EUR,GBP,0.8855,Monthly,Foreign Exchange Reference Rate (Spot Average),European Central Bank (ECB)
2023-02,EUR,INR,88.500445,Monthly,Foreign Exchange Reference Rate (Spot Average),European Central Bank (ECB)
2023-02,EUR,JPY,142.377,Monthly,Foreign Exchange Reference Rate (Spot Average),European Central Bank (ECB)
2023-02,EUR,USD,1.07151,Monthly,Foreign Exchange Reference Rate (Spot Average),European Central Bank (ECB)
2023-03,EUR,GBP,0.8819204347826,Monthly,Foreign Exchange Reference Rate (Spot Average),European Central Bank (ECB)
2023-03,EUR,INR,88.1159391304348,Monthly,Foreign Exchange Reference Rate (Spot Average),European Central Bank (ECB)
2023-03,EUR,JPY,143.01,Monthly,Foreign Exchange Reference Rate (Spot Average),European Central Bank (ECB)
2023-03,EUR,USD,1.0705826086957,Monthly,Foreign Exchange Reference Rate (Spot Average),European Central Bank (ECB)
2023-04,EUR,GBP,0.88115,Monthly,Foreign Exchange Reference Rate (Spot Average),European Central Bank (ECB)
2023-04,EUR,INR,89.9310666666667,Monthly,Foreign Exchange Reference Rate (Spot Average),European Central Bank (ECB)
2023-04,EUR,JPY,146.5111111111111,Monthly,Foreign Exchange Reference Rate (Spot Average),European Central Bank (ECB)
2023-04,EUR,USD,1.0967722222222,Monthly,Foreign Exchange Reference Rate (Spot Average),European Central Bank (ECB)
2023-05,EUR,GBP,0.870405,Monthly,Foreign Exchange Reference Rate (Spot Average),European Central Bank (ECB)
2023-05,EUR,INR,89.4602045454545,Monthly,Foreign Exchange Reference Rate (Spot Average),European Central Bank (ECB)
2023-05,EUR,JPY,148.9254545454546,Monthly,Foreign Exchange Reference Rate (Spot Average),European Central Bank (ECB)
2023-05,EUR,USD,1.08675,Monthly,Foreign Exchange Reference Rate (Spot Average),European Central Bank (ECB)
2023-06,EUR,GBP,0.8586063636364,Monthly,Foreign Exchange Reference Rate (Spot Average),European Central Bank (ECB)
2023-06,EUR,INR,89.1133545454545,Monthly,Foreign Exchange Reference Rate (Spot Average),European Central Bank (ECB)
2023-06,EUR,JPY,153.1486363636364,Monthly,Foreign Exchange Reference Rate (Spot Average),European Central Bank (ECB)
2023-06,EUR,USD,1.0839863636364,Monthly,Foreign Exchange Reference Rate (Spot Average),European Central Bank (ECB)
2023-07,EUR,GBP,0.8585561904762,Monthly,Foreign Exchange Reference Rate (Spot Average),European Central Bank (ECB)
2023-07,EUR,INR,90.8394857142857,Monthly,Foreign Exchange Reference Rate (Spot Average),European Central Bank (ECB)
2023-07,EUR,JPY,155.9371428571429,Monthly,Foreign Exchange Reference Rate (Spot Average),European Central Bank (ECB)
2023-07,EUR,USD,1.1058142857143,Monthly,Foreign Exchange Reference Rate (Spot Average),European Central Bank (ECB)
