================================================================================
N100 FINANCIAL INTELLIGENCE PLATFORM — SPRINT 2 RATIO EDGE CASES & ANOMALIES LOG
================================================================================

Total Logged Anomalies: 271

Company      | Year   | Metric | Calculated | Source     | Diff     | Category               | Explanation
------------------------------------------------------------------------------------------------------------------------
ADANIENSOL   | 2024   | OPM    | 34.39      | 30.00      | 4.39     | FORMULA_DISCREPANCY    | Calculated OPM (34.39%) differs from reported OPM (30.00%) by 4.39%
ADANIGREEN   | 2024   | ROCE   | 11.49      | 96.50      | 85.01    | VERSION_DIFFERENCE     | Calculated ROCE (11.49%) differs from companies snapshot (96.50%) by 85.01% (snapshot based on TTM/different methodology)
AMBUJACEM    | 2024   | ROCE   | 18.51      | 12.80      | 5.71     | VERSION_DIFFERENCE     | Calculated ROCE (18.51%) differs from companies snapshot (12.80%) by 5.71% (snapshot based on TTM/different methodology)
AXISBANK     | 2013   | OPM    | 30.58      | 1353.00    | 1322.42  | FORMULA_DISCREPANCY    | Calculated OPM (30.58%) differs from reported OPM (1353.00%) by 1322.42%
AXISBANK     | 2014   | OPM    | 31.47      | 2307.00    | 2275.53  | FORMULA_DISCREPANCY    | Calculated OPM (31.47%) differs from reported OPM (2307.00%) by 2275.53%
AXISBANK     | 2015   | OPM    | 31.36      | 3097.00    | 3065.64  | FORMULA_DISCREPANCY    | Calculated OPM (31.36%) differs from reported OPM (3097.00%) by 3065.64%
AXISBANK     | 2016   | OPM    | 32.61      | 3466.00    | 3433.39  | FORMULA_DISCREPANCY    | Calculated OPM (32.61%) differs from reported OPM (3466.00%) by 3433.39%
AXISBANK     | 2017   | OPM    | 53.45      | -5715.00   | 5768.45  | FORMULA_DISCREPANCY    | Calculated OPM (53.45%) differs from reported OPM (-5715.00%) by 5768.45%
AXISBANK     | 2018   | OPM    | 63.12      | -10277.00  | 10340.12 | FORMULA_DISCREPANCY    | Calculated OPM (63.12%) differs from reported OPM (-10277.00%) by 10340.12%
AXISBANK     | 2019   | OPM    | 49.39      | -5447.00   | 5496.39  | FORMULA_DISCREPANCY    | Calculated OPM (49.39%) differs from reported OPM (-5447.00%) by 5496.39%
AXISBANK     | 2020   | OPM    | 55.98      | -9859.00   | 9914.98  | FORMULA_DISCREPANCY    | Calculated OPM (55.98%) differs from reported OPM (-9859.00%) by 9914.98%
AXISBANK     | 2021   | OPM    | 50.12      | -2510.00   | 2560.12  | FORMULA_DISCREPANCY    | Calculated OPM (50.12%) differs from reported OPM (-2510.00%) by 2560.12%
AXISBANK     | 2022   | OPM    | 44.47      | 3170.00    | 3125.53  | FORMULA_DISCREPANCY    | Calculated OPM (44.47%) differs from reported OPM (3170.00%) by 3125.53%
AXISBANK     | 2023   | OPM    | 34.16      | 13857.00   | 13822.84 | FORMULA_DISCREPANCY    | Calculated OPM (34.16%) differs from reported OPM (13857.00%) by 13822.84%
AXISBANK     | 2024   | OPM    | 34.69      | 11952.00   | 11917.31 | FORMULA_DISCREPANCY    | Calculated OPM (34.69%) differs from reported OPM (11952.00%) by 11917.31%
BAJAJFINSV   | 2024   | ROCE   | 11.71      | 21.14      | 9.43     | DATA_SOURCE_ISSUE      | Calculated ROCE (11.71%) differs from companies snapshot (21.14%) by 9.43% (snapshot based on TTM/different methodology)
BAJFINANCE   | 2015   | OPM    | 32.49      | 1367.00    | 1334.51  | FORMULA_DISCREPANCY    | Calculated OPM (32.49%) differs from reported OPM (1367.00%) by 1334.51%
BAJFINANCE   | 2016   | OPM    | 32.25      | 1986.00    | 1953.75  | FORMULA_DISCREPANCY    | Calculated OPM (32.25%) differs from reported OPM (1986.00%) by 1953.75%
BAJFINANCE   | 2017   | OPM    | 32.60      | 2867.00    | 2834.40  | FORMULA_DISCREPANCY    | Calculated OPM (32.60%) differs from reported OPM (2867.00%) by 2834.40%
BAJFINANCE   | 2018   | OPM    | 32.28      | 3935.00    | 3902.72  | FORMULA_DISCREPANCY    | Calculated OPM (32.28%) differs from reported OPM (3935.00%) by 3902.72%
BAJFINANCE   | 2019   | OPM    | 29.50      | 6310.00    | 6280.50  | FORMULA_DISCREPANCY    | Calculated OPM (29.50%) differs from reported OPM (6310.00%) by 6280.50%
BAJFINANCE   | 2020   | OPM    | 34.73      | 7608.00    | 7573.27  | FORMULA_DISCREPANCY    | Calculated OPM (34.73%) differs from reported OPM (7608.00%) by 7573.27%
BAJFINANCE   | 2021   | OPM    | 40.64      | 6314.00    | 6273.36  | FORMULA_DISCREPANCY    | Calculated OPM (40.64%) differs from reported OPM (6314.00%) by 6273.36%
BAJFINANCE   | 2022   | OPM    | 37.55      | 9906.00    | 9868.45  | FORMULA_DISCREPANCY    | Calculated OPM (37.55%) differs from reported OPM (9906.00%) by 9868.45%
BAJFINANCE   | 2023   | OPM    | 30.65      | 16018.00   | 15987.35 | FORMULA_DISCREPANCY    | Calculated OPM (30.65%) differs from reported OPM (16018.00%) by 15987.35%
BAJFINANCE   | 2024   | OPM    | 29.29      | 19987.00   | 19957.71 | FORMULA_DISCREPANCY    | Calculated OPM (29.29%) differs from reported OPM (19987.00%) by 19957.71%
