company_id,missing_pro,missing_con,classification,available_metrics,reason
ABB,False,True,A_GENUINE_NO_CON,financial_ratios|profitandloss|balancesheet|market_cap,All applicable C01-C12 rules were evaluated against available data; none of the con thresholds were legitimately triggered for this company. No signal is fabricated.
ADANIPORTS,False,True,A_GENUINE_NO_CON,financial_ratios|profitandloss|balancesheet|market_cap,All applicable C01-C12 rules were evaluated against available data; none of the con thresholds were legitimately triggered for this company. No signal is fabricated.
ADANIPOWER,False,True,A_GENUINE_NO_CON,financial_ratios|profitandloss|balancesheet|market_cap,All applicable C01-C12 rules were evaluated against available data; none of the con thresholds were legitimately triggered for this company. No signal is fabricated.
APOLLOHOSP,False,True,A_GENUINE_NO_CON,financial_ratios|profitandloss|balancesheet|market_cap,All applicable C01-C12 rules were evaluated against available data; none of the con thresholds were legitimately triggered for this company. No signal is fabricated.
ATGL,False,True,A_GENUINE_NO_CON,financial_ratios|profitandloss|balancesheet|market_cap,All applicable C01-C12 rules were evaluated against available data; none of the con thresholds were legitimately triggered for this company. No signal is fabricated.
BAJAJ-AUTO,False,True,A_GENUINE_NO_CON,financial_ratios|profitandloss|balancesheet|market_cap,All applicable C01-C12 rules were evaluated against available data; none of the con thresholds were legitimately triggered for this company. No signal is fabricated.
BAJAJHLDNG,False,True,A_GENUINE_NO_CON,financial_ratios|profitandloss|balancesheet|market_cap,All applicable C01-C12 rules were evaluated against available data; none of the con thresholds were legitimately triggered for this company. No signal is fabricated.
BEL,False,True,A_GENUINE_NO_CON,financial_ratios|profitandloss|balancesheet|market_cap,All applicable C01-C12 rules were evaluated against available data; none of the con thresholds were legitimately triggered for this company. No signal is fabricated.
BOSCHLTD,False,True,A_GENUINE_NO_CON,financial_ratios|profitandloss|balancesheet|market_cap,All applicable C01-C12 rules were evaluated against available data; none of the con thresholds were legitimately triggered for this company. No signal is fabricated.
BPCL,False,True,A_GENUINE_NO_CON,financial_ratios|profitandloss|balancesheet|market_cap,All applicable C01-C12 rules were evaluated against available data; none of the con thresholds were legitimately triggered for this company. No signal is fabricated.
BRITANNIA,False,True,A_GENUINE_NO_CON,financial_ratios|profitandloss|balancesheet|market_cap,All applicable C01-C12 rules were evaluated against available data; none of the con thresholds were legitimately triggered for this company. No signal is fabricated.
CIPLA,False,True,A_GENUINE_NO_CON,financial_ratios|profitandloss|balancesheet|market_cap,All applicable C01-C12 rules were evaluated against available data; none of the con thresholds were legitimately triggered for this company. No signal is fabricated.
DIVISLAB,False,True,A_GENUINE_NO_CON,financial_ratios|profitandloss|balancesheet|market_cap,All applicable C01-C12 rules were evaluated against available data; none of the con thresholds were legitimately triggered for this company. No signal is fabricated.
DMART,False,True,A_GENUINE_NO_CON,financial_ratios|profitandloss|balancesheet|market_cap,All applicable C01-C12 rules were evaluated against available data; none of the con thresholds were legitimately triggered for this company. No signal is fabricated.
DRREDDY,False,True,A_GENUINE_NO_CON,financial_ratios|profitandloss|balancesheet|market_cap,All applicable C01-C12 rules were evaluated against available data; none of the con thresholds were legitimately triggered for this company. No signal is fabricated.
EICHERMOT,False,True,A_GENUINE_NO_CON,financial_ratios|profitandloss|balancesheet|market_cap,All applicable C01-C12 rules were evaluated against available data; none of the con thresholds were legitimately triggered for this company. No signal is fabricated.
GAIL,False,True,A_GENUINE_NO_CON,financial_ratios|profitandloss|balancesheet|market_cap,All applicable C01-C12 rules were evaluated against available data; none of the con thresholds were legitimately triggered for this company. No signal is fabricated.
GRASIM,False,True,A_GENUINE_NO_CON,financial_ratios|profitandloss|balancesheet|market_cap,All applicable C01-C12 rules were evaluated against available data; none of the con thresholds were legitimately triggered for this company. No signal is fabricated.
HAL,False,True,A_GENUINE_NO_CON,financial_ratios|profitandloss|balancesheet|market_cap,All applicable C01-C12 rules were evaluated against available data; none of the con thresholds were legitimately triggered for this company. No signal is fabricated.
HAVELLS,False,True,A_GENUINE_NO_CON,financial_ratios|profitandloss|balancesheet|market_cap,All applicable C01-C12 rules were evaluated against available data; none of the con thresholds were legitimately triggered for this company. No signal is fabricated.
HDFCLIFE,False,True,A_GENUINE_NO_CON,financial_ratios|profitandloss|balancesheet|market_cap,All applicable C01-C12 rules were evaluated against available data; none of the con thresholds were legitimately triggered for this company. No signal is fabricated.
HINDALCO,False,True,A_GENUINE_NO_CON,financial_ratios|profitandloss|balancesheet|market_cap,All applicable C01-C12 rules were evaluated against available data; none of the con thresholds were legitimately triggered for this company. No signal is fabricated.
ICICIGI,False,True,A_GENUINE_NO_CON,financial_ratios|profitandloss|balancesheet|market_cap,All applicable C01-C12 rules were evaluated against available data; none of the con thresholds were legitimately triggered for this company. No signal is fabricated.
ICICIPRULI,False,True,A_GENUINE_NO_CON,financial_ratios|profitandloss|balancesheet|market_cap,All applicable C01-C12 rules were evaluated against available data; none of the con thresholds were legitimately triggered for this company. No signal is fabricated.
IOC,False,True,A_GENUINE_NO_CON,financial_ratios|profitandloss|balancesheet|market_cap,All applicable C01-C12 rules were evaluated against available data; none of the con thresholds were legitimately triggered for this company. No signal is fabricated.
IRCTC,False,True,A_GENUINE_NO_CON,financial_ratios|profitandloss|balancesheet|market_cap,All applicable C01-C12 rules were evaluated against available data; none of the con thresholds were legitimately triggered for this company. No signal is fabricated.
ITC,False,True,A_GENUINE_NO_CON,financial_ratios|profitandloss|balancesheet|market_cap,All applicable C01-C12 rules were evaluated against available data; none of the con thresholds were legitimately triggered for this company. No signal is fabricated.
JINDALSTEL,True,False,C_MISSING_METRIC,financial_ratios|profitandloss|balancesheet|market_cap,Required metric(s) absent/null in DB for this company: pat_cagr_5yr (used by P06/P11); eps_cagr_5yr (used by P09). Affected rules cannot be evaluated.
JSWSTEEL,False,True,A_GENUINE_NO_CON,financial_ratios|profitandloss|balancesheet|market_cap,All applicable C01-C12 rules were evaluated against available data; none of the con thresholds were legitimately triggered for this company. No signal is fabricated.
LICI,False,True,C_MISSING_METRIC,financial_ratios|profitandloss|balancesheet|market_cap,Required metric(s) absent/null in DB for this company: eps_cagr_5yr (used by P09). Affected rules cannot be evaluated.
M&M,False,True,A_GENUINE_NO_CON,financial_ratios|profitandloss|balancesheet|market_cap,All applicable C01-C12 rules were evaluated against available data; none of the con thresholds were legitimately triggered for this company. No signal is fabricated.
MARUTI,False,True,A_GENUINE_NO_CON,financial_ratios|profitandloss|balancesheet|market_cap,All applicable C01-C12 rules were evaluated against available data; none of the con thresholds were legitimately triggered for this company. No signal is fabricated.
MOTHERSON,False,True,A_GENUINE_NO_CON,financial_ratios|profitandloss|balancesheet|market_cap,All applicable C01-C12 rules were evaluated against available data; none of the con thresholds were legitimately triggered for this company. No signal is fabricated.
NESTLEIND,False,True,A_GENUINE_NO_CON,financial_ratios|profitandloss|balancesheet|market_cap,All applicable C01-C12 rules were evaluated against available data; none of the con thresholds were legitimately triggered for this company. No signal is fabricated.
ONGC,False,True,A_GENUINE_NO_CON,financial_ratios|profitandloss|balancesheet|market_cap,All applicable C01-C12 rules were evaluated against available data; none of the con thresholds were legitimately triggered for this company. No signal is fabricated.
PIDILITIND,False,True,A_GENUINE_NO_CON,financial_ratios|profitandloss|balancesheet|market_cap,All applicable C01-C12 rules were evaluated against available data; none of the con thresholds were legitimately triggered for this company. No signal is fabricated.
PNB,False,True,C_MISSING_METRIC,financial_ratios|profitandloss|balancesheet|market_cap,Required metric(s) absent/null in DB for this company: operating_profit_margin_pct (used by P05/C03); interest_coverage (used by P07/C06); return_on_capital_employed_pct (used by C10). Affected rules cannot be evaluated.
POWERGRID,False,True,A_GENUINE_NO_CON,financial_ratios|profitandloss|balancesheet|market_cap,All applicable C01-C12 rules were evaluated against available data; none of the con thresholds were legitimately triggered for this company. No signal is fabricated.
RELIANCE,False,True,A_GENUINE_NO_CON,financial_ratios|profitandloss|balancesheet|market_cap,All applicable C01-C12 rules were evaluated against available data; none of the con thresholds were legitimately triggered for this company. No signal is fabricated.
SBILIFE,False,True,A_GENUINE_NO_CON,financial_ratios|profitandloss|balancesheet|market_cap,All applicable C01-C12 rules were evaluated against available data; none of the con thresholds were legitimately triggered for this company. No signal is fabricated.
SHREECEM,False,True,A_GENUINE_NO_CON,financial_ratios|profitandloss|balancesheet|market_cap,All applicable C01-C12 rules were evaluated against available data; none of the con thresholds were legitimately triggered for this company. No signal is fabricated.
SIEMENS,False,True,A_GENUINE_NO_CON,financial_ratios|profitandloss|balancesheet|market_cap,All applicable C01-C12 rules were evaluated against available data; none of the con thresholds were legitimately triggered for this company. No signal is fabricated.
SUNPHARMA,False,True,A_GENUINE_NO_CON,financial_ratios|profitandloss|balancesheet|market_cap,All applicable C01-C12 rules were evaluated against available data; none of the con thresholds were legitimately triggered for this company. No signal is fabricated.
TATACONSUM,False,True,A_GENUINE_NO_CON,financial_ratios|profitandloss|balancesheet|market_cap,All applicable C01-C12 rules were evaluated against available data; none of the con thresholds were legitimately triggered for this company. No signal is fabricated.
TATAMOTORS,False,True,A_GENUINE_NO_CON,financial_ratios|profitandloss|balancesheet|market_cap,All applicable C01-C12 rules were evaluated against available data; none of the con thresholds were legitimately triggered for this company. No signal is fabricated.
TCS,False,True,A_GENUINE_NO_CON,financial_ratios|profitandloss|balancesheet|market_cap,All applicable C01-C12 rules were evaluated against available data; none of the con thresholds were legitimately triggered for this company. No signal is fabricated.
TORNTPHARM,False,True,A_GENUINE_NO_CON,financial_ratios|profitandloss|balancesheet|market_cap,All applicable C01-C12 rules were evaluated against available data; none of the con thresholds were legitimately triggered for this company. No signal is fabricated.
