company_id,sector,latest_year,cfo_value,cff_value,latest_net_profit,reason
AXISBANK,Financials,2024,-5555.0,22341.0,24861.0,Operating cash flow is negative while financing cash flow is positive (operations consuming cash funded via external financing)
BAJAJFINSV,Financials,2024,-68674.0,82709.0,15595.0,Operating cash flow is negative while financing cash flow is positive (operations consuming cash funded via external financing)
BAJFINANCE,Financials,2024,-72760.0,82415.0,14451.0,Operating cash flow is negative while financing cash flow is positive (operations consuming cash funded via external financing)
BANKBARODA,Financials,2024,-6274.0,5476.0,18869.0,Operating cash flow is negative while financing cash flow is positive (operations consuming cash funded via external financing)
BHEL,Industrials,2024,-3713.0,2656.0,282.0,Operating cash flow is negative while financing cash flow is positive (operations consuming cash funded via external financing)
CHOLAFIN,Financials,2024,-35683.0,38471.0,3420.0,Operating cash flow is negative while financing cash flow is positive (operations consuming cash funded via external financing)
GRASIM,Industrials,2024,-10719.0,33908.0,9926.0,Operating cash flow is negative while financing cash flow is positive (operations consuming cash funded via external financing)
M&M,Consumer Discretionary,2024,-5630.0,12281.0,12270.0,Operating cash flow is negative while financing cash flow is positive (operations consuming cash funded via external financing)
PFC,Financials,2024,-97820.0,101261.0,26461.0,Operating cash flow is negative while financing cash flow is positive (operations consuming cash funded via external financing)
PNB,Financials,2024,-27939.0,3518.0,9157.0,Operating cash flow is negative while financing cash flow is positive (operations consuming cash funded via external financing)
RECLTD,Financials,2024,-57723.0,59588.0,14145.0,Operating cash flow is negative while financing cash flow is positive (operations consuming cash funded via external financing)
SHRIRAMFIN,Financials,2024,-31101.0,27609.0,7399.0,Operating cash flow is negative while financing cash flow is positive (operations consuming cash funded via external financing)
TVSMOTOR,Consumer Discretionary,2024,-1253.0,2759.0,1779.0,Operating cash flow is negative while financing cash flow is positive (operations consuming cash funded via external financing)
