company_id,from_year,to_year,from_pattern,to_pattern
ABB,2022,2023,Reinvestor,Shareholder Returns
ADANIENSOL,2014,2015,Other,Growth Funded by Debt
ADANIENSOL,2015,2016,Growth Funded by Debt,Shareholder Returns
ADANIENSOL,2017,2018,Shareholder Returns,Mixed
ADANIENSOL,2020,2021,Mixed,Shareholder Returns
ADANIENSOL,2022,2023,Shareholder Returns,Mixed
ADANIENSOL,2023,2024,Mixed,Shareholder Returns
ADANIENT,2013,2014,Mixed,Shareholder Returns
ADANIENT,2014,2015,Shareholder Returns,Mixed
ADANIENT,2015,2016,Mixed,Shareholder Returns
ADANIENT,2016,2017,Shareholder Returns,Mixed
ADANIENT,2018,2019,Mixed,Liquidating Assets
ADANIENT,2019,2020,Liquidating Assets,Shareholder Returns
ADANIENT,2020,2021,Shareholder Returns,Mixed
ADANIENT,2022,2023,Mixed,Shareholder Returns
ADANIENT,2023,2024,Shareholder Returns,Mixed
ADANIGREEN,2022,2023,Mixed,Reinvestor
ADANIGREEN,2023,2024,Reinvestor,Mixed
ADANIPORTS,2014,2015,Mixed,Reinvestor
ADANIPORTS,2015,2016,Reinvestor,Mixed
ADANIPORTS,2016,2017,Mixed,Reinvestor
ADANIPORTS,2017,2018,Reinvestor,Shareholder Returns
ADANIPORTS,2018,2019,Shareholder Returns,Mixed
ADANIPORTS,2019,2020,Mixed,Shareholder Returns
ADANIPORTS,2020,2021,Shareholder Returns,Mixed
ADANIPORTS,2021,2022,Mixed,Shareholder Returns
ADANIPOWER,2014,2015,Mixed,Reinvestor
ADANIPOWER,2021,2022,Reinvestor,Liquidating Assets
AMBUJACEM,2021,2023,Shareholder Returns,Mixed
APOLLOHOSP,2013,2014,Mixed,Shareholder Returns
APOLLOHOSP,2014,2015,Shareholder Returns,Mixed
APOLLOHOSP,2017,2018,Mixed,Shareholder Returns
ASIANPAINT,2014,2015,Shareholder Returns,Reinvestor
ASIANPAINT,2015,2016,Reinvestor,Shareholder Returns
ASIANPAINT,2016,2017,Shareholder Returns,Reinvestor
ASIANPAINT,2019,2020,Reinvestor,Shareholder Returns
ASIANPAINT,2021,2022,Shareholder Returns,Reinvestor
ATGL,2018,2019,Mixed,Liquidating Assets
ATGL,2019,2020,Liquidating Assets,Shareholder Returns
ATGL,2020,2021,Shareholder Returns,Mixed
ATGL,2023,2024,Mixed,Shareholder Returns
AXISBANK,2014,2015,Mixed,Growth Funded by Debt
AXISBANK,2015,2016,Growth Funded by Debt,Distress Signal
AXISBANK,2016,2017,Distress Signal,Shareholder Returns
AXISBANK,2017,2018,Shareholder Returns,Growth Funded by Debt
AXISBANK,2018,2019,Growth Funded by Debt,Mixed
AXISBANK,2023,2024,Mixed,Growth Funded by Debt
BAJAJ-AUTO,2019,2020,Reinvestor,Liquidating Assets
BAJAJ-AUTO,2020,2021,Liquidating Assets,Reinvestor
BAJAJ-AUTO,2021,2022,Reinvestor,Liquidating Assets
BAJAJ-AUTO,2023,2024,Liquidating Assets,Reinvestor
BAJAJFINSV,2015,2016,Distress Signal,Growth Funded by Debt
BAJAJFINSV,2016,2017,Growth Funded by Debt,Distress Signal
BAJAJFINSV,2017,2018,Distress Signal,Growth Funded by Debt
BAJAJFINSV,2020,2021,Growth Funded by Debt,Mixed
BAJAJFINSV,2021,2022,Mixed,Distress Signal
BAJAJFINSV,2022,2023,Distress Signal,Growth Funded by Debt
BAJAJHLDNG,2015,2016,Reinvestor,Liquidating Assets
BAJAJHLDNG,2016,2017,Liquidating Assets,Pre-Revenue
BAJAJHLDNG,2017,2018,Pre-Revenue,Reinvestor
BAJFINANCE,2017,2018,Growth Funded by Debt,Distress Signal
BAJFINANCE,2018,2019,Distress Signal,Growth Funded by Debt
BAJFINANCE,2021,2022,Growth Funded by Debt,Distress Signal
BAJFINANCE,2022,2023,Distress Signal,Growth Funded by Debt
BANKBARODA,2013,2014,Shareholder Returns,Mixed
BANKBARODA,2014,2015,Mixed,Shareholder Returns
BANKBARODA,2015,2016,Shareholder Returns,Pre-Revenue
BANKBARODA,2016,2017,Pre-Revenue,Shareholder Returns
BANKBARODA,2017,2018,Shareholder Returns,Growth Funded by Debt
BANKBARODA,2019,2020,Growth Funded by Debt,Mixed
BANKBARODA,2020,2021,Mixed,Pre-Revenue
BANKBARODA,2021,2022,Pre-Revenue,Shareholder Returns
BANKBARODA,2022,2023,Shareholder Returns,Pre-Revenue
BANKBARODA,2023,2024,Pre-Revenue,Growth Funded by Debt
BEL,2014,2015,Other,Reinvestor
BEL,2016,2017,Reinvestor,Other
BEL,2017,2018,Other,Pre-Revenue
BEL,2018,2019,Pre-Revenue,Reinvestor
BEL,2021,2022,Reinvestor,Shareholder Returns
BEL,2022,2023,Shareholder Returns,Liquidating Assets
BEL,2023,2024,Liquidating Assets,Shareholder Returns
BHARTIARTL,2013,2014,Shareholder Returns,Mixed
BHARTIARTL,2014,2015,Mixed,Shareholder Returns
BHARTIARTL,2017,2018,Shareholder Returns,Mixed
BHARTIARTL,2020,2021,Mixed,Shareholder Returns
BHEL,2014,2015,Mixed,Liquidating Assets
BHEL,2016,2017,Liquidating Assets,Reinvestor
BHEL,2017,2018,Reinvestor,Liquidating Assets
BHEL,2018,2019,Liquidating Assets,Other
BHEL,2019,2020,Other,Distress Signal
BHEL,2020,2021,Distress Signal,Reinvestor
BHEL,2022,2023,Reinvestor,Distress Signal
BOSCHLTD,2012,2013,Reinvestor,Shareholder Returns
BOSCHLTD,2016,2017,Shareholder Returns,Liquidating Assets
BOSCHLTD,2017,2018,Liquidating Assets,Shareholder Returns
BOSCHLTD,2018,2019,Shareholder Returns,Liquidating Assets
BOSCHLTD,2019,2020,Liquidating Assets,Shareholder Returns
BOSCHLTD,2022,2023,Shareholder Returns,Liquidating Assets
BPCL,2016,2017,Shareholder Returns,Mixed
BPCL,2017,2018,Mixed,Shareholder Returns
BPCL,2018,2019,Shareholder Returns,Mixed
BPCL,2020,2021,Mixed,Shareholder Returns
BRITANNIA,2013,2014,Liquidating Assets,Shareholder Returns
BRITANNIA,2018,2019,Shareholder Returns,Reinvestor
BRITANNIA,2019,2020,Reinvestor,Mixed
BRITANNIA,2020,2021,Mixed,Liquidating Assets
BRITANNIA,2022,2023,Liquidating Assets,Shareholder Returns
BRITANNIA,2023,2024,Shareholder Returns,Liquidating Assets
CANBK,2016,2017,Shareholder Returns,Mixed
CANBK,2017,2018,Mixed,Growth Funded by Debt
CANBK,2018,2019,Growth Funded by Debt,Shareholder Returns
CANBK,2019,2020,Shareholder Returns,Growth Funded by Debt
CANBK,2020,2021,Growth Funded by Debt,Mixed
CANBK,2022,2023,Mixed,Growth Funded by Debt
CANBK,2023,2024,Growth Funded by Debt,Shareholder Returns
CHOLAFIN,2013,2014,Distress Signal,Growth Funded by Debt
CHOLAFIN,2021,2022,Growth Funded by Debt,Distress Signal
CHOLAFIN,2022,2023,Distress Signal,Growth Funded by Debt
CIPLA,2013,2014,Mixed,Shareholder Returns
CIPLA,2014,2015,Shareholder Returns,Mixed
CIPLA,2016,2017,Mixed,Shareholder Returns
CIPLA,2019,2020,Shareholder Returns,Liquidating Assets
CIPLA,2020,2021,Liquidating Assets,Shareholder Returns
COALINDIA,2013,2014,Reinvestor,Liquidating Assets
COALINDIA,2017,2018,Liquidating Assets,Shareholder Returns
COALINDIA,2019,2020,Shareholder Returns,Liquidating Assets
COALINDIA,2021,2022,Liquidating Assets,Shareholder Returns
DABUR,2017,2018,Shareholder Returns,Reinvestor
DABUR,2018,2019,Reinvestor,Liquidating Assets
DABUR,2019,2020,Liquidating Assets,Reinvestor
DABUR,2020,2021,Reinvestor,Shareholder Returns
DIVISLAB,2016,2017,Reinvestor,Mixed
DIVISLAB,2017,2018,Mixed,Reinvestor
DIVISLAB,2020,2021,Reinvestor,Liquidating Assets
DIVISLAB,2021,2022,Liquidating Assets,Reinvestor
DLF,2015,2016,Liquidating Assets,Shareholder Returns
DLF,2016,2017,Shareholder Returns,Distress Signal
DLF,2017,2018,Distress Signal,Shareholder Returns
DLF,2018,2019,Shareholder Returns,Cash Accumulator
DLF,2019,2020,Cash Accumulator,Liquidating Assets
DLF,2022,2023,Liquidating Assets,Shareholder Returns
DLF,2023,2024,Shareholder Returns,Mixed
DMART,2017,2018,Mixed,Liquidating Assets
DMART,2018,2019,Liquidating Assets,Mixed
DMART,2020,2021,Mixed,Reinvestor
DMART,2022,2023,Reinvestor,Shareholder Returns
DRREDDY,2015,2016,Reinvestor,Shareholder Returns
EICHERMOT,2016,2017,Shareholder Returns,Mixed
EICHERMOT,2017,2018,Mixed,Shareholder Returns
EICHERMOT,2022,2023,Shareholder Returns,Reinvestor
GAIL,2013,2014,Mixed,Shareholder Returns
GAIL,2019,2020,Shareholder Returns,Mixed
GAIL,2020,2021,Mixed,Shareholder Returns
GAIL,2022,2023,Shareholder Returns,Mixed
GAIL,2023,2024,Mixed,Reinvestor
GODREJCP,2013,2014,Mixed,Shareholder Returns
GODREJCP,2016,2017,Shareholder Returns,Mixed
GODREJCP,2017,2018,Mixed,Shareholder Returns
GODREJCP,2018,2019,Shareholder Returns,Liquidating Assets
GODREJCP,2019,2020,Liquidating Assets,Shareholder Returns
GODREJCP,2021,2022,Shareholder Returns,Reinvestor
GODREJCP,2022,2023,Reinvestor,Shareholder Returns
GODREJCP,2023,2024,Shareholder Returns,Mixed
GRASIM,2013,2014,Mixed,Shareholder Returns
GRASIM,2017,2018,Shareholder Returns,Distress Signal
GRASIM,2018,2019,Distress Signal,Growth Funded by Debt
GRASIM,2019,2020,Growth Funded by Debt,Reinvestor
GRASIM,2022,2023,Reinvestor,Growth Funded by Debt
HAL,2018,2019,Other,Distress Signal
HAL,2019,2020,Distress Signal,Mixed
HAL,2020,2021,Mixed,Reinvestor
HAL,2022,2023,Reinvestor,Shareholder Returns
HAVELLS,2018,2019,Shareholder Returns,Liquidating Assets
HAVELLS,2019,2020,Liquidating Assets,Shareholder Returns
HAVELLS,2020,2021,Shareholder Returns,Mixed
HAVELLS,2021,2022,Mixed,Shareholder Returns
HAVELLS,2022,2023,Shareholder Returns,Liquidating Assets
HAVELLS,2023,2024,Liquidating Assets,Shareholder Returns
HCLTECH,2014,2015,Shareholder Returns,Reinvestor
HCLTECH,2020,2021,Reinvestor,Shareholder Returns
HCLTECH,2021,2022,Shareholder Returns,Liquidating Assets
HCLTECH,2022,2023,Liquidating Assets,Shareholder Returns
HDFCBANK,2013,2014,Growth Funded by Debt,Mixed
HDFCBANK,2014,2015,Mixed,Growth Funded by Debt
HDFCBANK,2016,2017,Growth Funded by Debt,Reinvestor
HDFCBANK,2017,2018,Reinvestor,Mixed
HDFCBANK,2018,2019,Mixed,Growth Funded by Debt
HDFCBANK,2020,2021,Growth Funded by Debt,Reinvestor
HDFCBANK,2021,2022,Reinvestor,Growth Funded by Debt
HDFCBANK,2022,2023,Growth Funded by Debt,Mixed
HDFCBANK,2023,2024,Mixed,Liquidating Assets
HDFCLIFE,2014,2015,Other,Shareholder Returns
HDFCLIFE,2019,2020,Shareholder Returns,Mixed
HDFCLIFE,2021,2022,Mixed,Shareholder Returns
HDFCLIFE,2022,2023,Shareholder Returns,Mixed
HDFCLIFE,2023,2024,Mixed,Shareholder Returns
HEROMOTOCO,2014,2015,Shareholder Returns,Liquidating Assets
HEROMOTOCO,2015,2016,Liquidating Assets,Shareholder Returns
HEROMOTOCO,2018,2019,Shareholder Returns,Liquidating Assets
HEROMOTOCO,2019,2020,Liquidating Assets,Shareholder Returns
HINDALCO,2014,2015,Mixed,Shareholder Returns
HINDALCO,2017,2018,Shareholder Returns,Liquidating Assets
HINDALCO,2018,2019,Liquidating Assets,Shareholder Returns
HINDALCO,2019,2020,Shareholder Returns,Mixed
HINDALCO,2020,2021,Mixed,Shareholder Returns
HINDUNILVR,2013,2014,Liquidating Assets,Reinvestor
HINDUNILVR,2014,2015,Reinvestor,Liquidating Assets
HINDUNILVR,2015,2016,Liquidating Assets,Reinvestor
HINDUNILVR,2017,2018,Reinvestor,Shareholder Returns
HINDUNILVR,2019,2020,Shareholder Returns,Liquidating Assets
HINDUNILVR,2020,2021,Liquidating Assets,Shareholder Returns
ICICIBANK,2014,2015,Mixed,Growth Funded by Debt
ICICIBANK,2015,2016,Growth Funded by Debt,Mixed
ICICIBANK,2016,2017,Mixed,Shareholder Returns
ICICIBANK,2017,2018,Shareholder Returns,Mixed
ICICIBANK,2018,2019,Mixed,Shareholder Returns
ICICIBANK,2019,2020,Shareholder Returns,Mixed
ICICIBANK,2020,2021,Mixed,Shareholder Returns
