company_id,broad_sector,cluster_id,metric,metric_label,metric_value,sector_mean,sector_std,sector_count,z_score,abs_z_score,outlier_flag,handling
ABB,Industrials,0,net_profit_margin_pct,Net Profit Margin,20.533425,13.38406,9.880643,10,0.723573,0.723573,False,computed
ABB,Industrials,0,operating_profit_margin_pct,Operating Profit Margin,24.841853,21.333371,15.56934,10,0.225346,0.225346,False,computed
ABB,Industrials,0,return_on_equity_pct,Return on Equity,32.468235,874.176985,1808.577244,10,-0.465398,0.465398,False,computed
ABB,Industrials,0,debt_to_equity,Debt to Equity,0.022438,0.583291,0.619304,10,-0.905617,0.905617,False,computed
ABB,Industrials,0,return_on_capital_employed_pct,ROCE,44.976203,841.721338,1710.114178,10,-0.465902,0.465902,False,computed
ABB,Industrials,0,asset_turnover,Asset Turnover,1.126324,20.647597,42.442182,10,-0.45995,0.45995,False,computed
ABB,Industrials,0,revenue_cagr_5yr,Revenue CAGR 5Yr,9.716101,10.876325,6.638909,10,-0.174761,0.174761,False,computed
ABB,Industrials,0,fcf_conversion_pct,FCF Conversion,54.85203,-30.851354,123.344214,10,0.694831,0.694831,False,computed
ABB,Industrials,0,cfo_quality_score,CFO Quality Score,1.049043,1.17796,1.470801,10,-0.087651,0.087651,False,computed
ABB,Industrials,0,capex_intensity_pct,Capex Intensity,7.112327,13.741162,10.040116,10,-0.660235,0.660235,False,computed
ADANIENSOL,Energy,0,net_profit_margin_pct,Net Profit Margin,7.201782,16.022672,12.981687,14,-0.679487,0.679487,False,computed
ADANIENSOL,Energy,0,operating_profit_margin_pct,Operating Profit Margin,34.389113,33.596854,24.659114,14,0.032128,0.032128,False,computed
ADANIENSOL,Energy,0,return_on_equity_pct,Return on Equity,9.461277,17.933799,11.243965,14,-0.753517,0.753517,False,computed
ADANIENSOL,Energy,0,debt_to_equity,Debt to Equity,2.932521,1.459648,1.634055,14,0.901361,0.901361,False,computed
ADANIENSOL,Energy,0,return_on_capital_employed_pct,ROCE,12.717507,19.326477,8.626593,14,-0.766116,0.766116,False,computed
ADANIENSOL,Energy,0,asset_turnover,Asset Turnover,0.283696,0.653519,0.612361,14,-0.60393,0.60393,False,computed
ADANIENSOL,Energy,0,revenue_cagr_5yr,Revenue CAGR 5Yr,17.85125,12.446835,8.494439,14,0.63623,0.63623,False,computed
ADANIENSOL,Energy,0,fcf_conversion_pct,FCF Conversion,19.173525,18.263863,65.003647,14,0.013994,0.013994,False,computed
ADANIENSOL,Energy,0,cfo_quality_score,CFO Quality Score,4.389233,2.010569,1.208837,14,1.96773,1.96773,False,computed
ADANIENSOL,Energy,0,capex_intensity_pct,Capex Intensity,29.764557,36.529155,59.038781,14,-0.114579,0.114579,False,computed
ADANIENT,Industrials,0,net_profit_margin_pct,Net Profit Margin,3.45879,13.38406,9.880643,10,-1.004517,1.004517,False,computed
ADANIENT,Industrials,0,operating_profit_margin_pct,Operating Profit Margin,11.799297,21.333371,15.56934,10,-0.612362,0.612362,False,computed
ADANIENT,Industrials,0,return_on_equity_pct,Return on Equity,8.53465,874.176985,1808.577244,10,-0.478632,0.478632,False,computed
ADANIENT,Industrials,0,debt_to_equity,Debt to Equity,1.671358,0.583291,0.619304,10,1.756918,1.756918,False,computed
ADANIENT,Industrials,0,return_on_capital_employed_pct,ROCE,11.996819,841.721338,1710.114178,10,-0.485187,0.485187,False,computed
ADANIENT,Industrials,0,asset_turnover,Asset Turnover,0.600432,20.647597,42.442182,10,-0.472341,0.472341,False,computed
ADANIENT,Industrials,0,revenue_cagr_5yr,Revenue CAGR 5Yr,19.015415,10.876325,6.638909,10,1.225968,1.225968,False,computed
ADANIENT,Industrials,0,fcf_conversion_pct,FCF Conversion,-74.316604,-30.851354,123.344214,10,-0.35239,0.35239,False,computed
ADANIENT,Industrials,0,cfo_quality_score,CFO Quality Score,3.670388,1.17796,1.470801,10,1.694606,1.694606,False,computed
ADANIENT,Industrials,0,capex_intensity_pct,Capex Intensity,19.463602,13.741162,10.040116,10,0.569958,0.569958,False,computed
ADANIGREEN,Energy,3,net_profit_margin_pct,Net Profit Margin,13.665944,16.022672,12.981687,14,-0.181543,0.181543,False,computed
ADANIGREEN,Energy,3,operating_profit_margin_pct,Operating Profit Margin,79.370933,33.596854,24.659114,14,1.856274,1.856274,False,computed
ADANIGREEN,Energy,3,return_on_equity_pct,Return on Equity,12.812691,17.933799,11.243965,14,-0.455454,0.455454,False,computed
ADANIGREEN,Energy,3,debt_to_equity,Debt to Equity,6.595282,1.459648,1.634055,14,3.142878,3.142878,True,computed
ADANIGREEN,Energy,3,return_on_capital_employed_pct,ROCE,11.487174,19.326477,8.626593,14,-0.908737,0.908737,False,computed
ADANIGREEN,Energy,3,asset_turnover,Asset Turnover,0.10467,0.653519,0.612361,14,-0.896283,0.896283,False,computed
ADANIGREEN,Energy,3,revenue_cagr_5yr,Revenue CAGR 5Yr,34.976173,12.446835,8.494439,14,2.652245,2.652245,False,computed
ADANIGREEN,Energy,3,fcf_conversion_pct,FCF Conversion,-182.385898,18.263863,65.003647,14,-3.086746,3.086746,True,computed
ADANIGREEN,Energy,3,cfo_quality_score,CFO Quality Score,-0.023529,2.010569,1.208837,14,-1.682691,1.682691,False,computed
ADANIGREEN,Energy,3,capex_intensity_pct,Capex Intensity,228.416486,36.529155,59.038781,14,3.250191,3.250191,True,computed
ADANIPORTS,Industrials,1,net_profit_margin_pct,Net Profit Margin,30.33956,13.38406,9.880643,10,1.716032,1.716032,False,computed
ADANIPORTS,Industrials,1,operating_profit_margin_pct,Operating Profit Margin,58.361724,21.333371,15.56934,10,2.378287,2.378287,False,computed
ADANIPORTS,Industrials,1,return_on_equity_pct,Return on Equity,15.354883,874.176985,1808.577244,10,-0.474861,0.474861,False,computed
ADANIPORTS,Industrials,1,debt_to_equity,Debt to Equity,0.937322,0.583291,0.619304,10,0.571659,0.571659,False,computed
ADANIPORTS,Industrials,1,return_on_capital_employed_pct,ROCE,15.902512,841.721338,1710.114178,10,-0.482903,0.482903,False,computed
ADANIPORTS,Industrials,1,asset_turnover,Asset Turnover,0.228301,20.647597,42.442182,10,-0.481109,0.481109,False,computed
ADANIPORTS,Industrials,1,revenue_cagr_5yr,Revenue CAGR 5Yr,19.578676,10.876325,6.638909,10,1.310811,1.310811,False,computed
ADANIPORTS,Industrials,1,fcf_conversion_pct,FCF Conversion,52.921932,-30.851354,123.344214,10,0.679183,0.679183,False,computed
ADANIPORTS,Industrials,1,cfo_quality_score,CFO Quality Score,1.923293,1.17796,1.470801,10,0.506753,0.506753,False,computed
