metric,metric_label,n_valid,n_missing,p10,p25,p50,p75,p90,mean,std
net_profit_margin_pct,Net Profit Margin,92,0,4.619195,7.247745,14.208254,20.349009,29.245482,20.015918,45.182887
operating_profit_margin_pct,Operating Profit Margin,91,1,9.837909,16.008218,25.833656,40.154299,84.043127,34.668915,27.512221
return_on_equity_pct,Return on Equity,91,1,8.370768,11.671359,16.716052,26.005643,48.276741,123.897152,637.14478
debt_to_equity,Debt to Equity,91,1,0.008129,0.0581,0.434916,1.59427,6.445624,1.668832,2.863033
return_on_capital_employed_pct,ROCE,90,2,4.279772,11.330123,20.637175,36.169944,121.036064,197.493441,840.63824
asset_turnover,Asset Turnover,91,1,0.073257,0.211981,0.678853,1.134077,1.655941,3.504463,15.847511
revenue_cagr_5yr,Revenue CAGR 5Yr,91,1,5.838806,8.440832,11.83637,17.183239,21.088649,12.950318,7.382205
fcf_conversion_pct,FCF Conversion,91,1,-124.373995,-16.677766,19.173525,46.189979,73.317422,-18.251857,150.146552
cfo_quality_score,CFO Quality Score,92,0,-2.135861,0.92651,1.19967,2.388174,3.871823,1.636217,4.833371
capex_intensity_pct,Capex Intensity,92,0,1.499611,3.400263,7.946276,16.869795,28.602425,15.355659,27.621247
